Gestora;Data;Talão;Classificação;Descrição;Valor
SEFIN;05/01/2017;05.01.0028;1122.99.00.00.00;Outras Taxas pela Prestação de Serviços;108,31
SEFIN;06/01/2017;06.01.0001;1113.05.01.01.00;IMPOSTO SOBRE SERVIÇO – SIMPLES NACIONAL;1.405,67
AMT;06/01/2017;06.01.0002;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;56,79
AMT;06/01/2017;06.01.0003;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;97,05
SEFIN;06/01/2017;06.01.0004;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;517,71
SEFIN;06/01/2017;06.01.0005;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;2.146,74
SEFIN;06/01/2017;06.01.0006;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;1.400,00
SEFIN;06/01/2017;06.01.0007;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;8.617,66
SEFIN;06/01/2017;06.01.0008;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;90,00
SEFIN;06/01/2017;06.01.0009;1121.29.00.00.00;Taxa de Licença para Execução de Obras;12.960,31
SEFIN;06/01/2017;06.01.0010;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;662,24
SEFIN;06/01/2017;06.01.0011;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;55.060,53
SEFIN;06/01/2017;06.01.0012;1121.29.00.00.00;Taxa de Licença para Execução de Obras;2.223,03
SEFIN;06/01/2017;06.01.0013;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;335,00
SEFIN;06/01/2017;06.01.0014;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;8.075,19
SEFIN;06/01/2017;06.01.0015;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.526,90
SEFIN;06/01/2017;06.01.0016;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;20,26
SEFIN;06/01/2017;06.01.0017;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;210,00
SEFIN;06/01/2017;06.01.0018;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.046,44
SEFIN;06/01/2017;06.01.0019;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;150,17
SEFIN;06/01/2017;06.01.0020;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;942,71
SEFIN;06/01/2017;06.01.0021;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;314,50
SEFIN;06/01/2017;06.01.0022;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;495,83
SEFIN;06/01/2017;06.01.0023;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;246,87
SEFIN;06/01/2017;06.01.0024;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;60,15
SEFIN;06/01/2017;06.01.0026;1122.99.00.00.00;Outras Taxas pela Prestação de Serviços;824,52
SEFIN;09/01/2017;09.01.0001;1113.05.01.01.00;IMPOSTO SOBRE SERVIÇO – SIMPLES NACIONAL;2.415,64
SESA;09/01/2017;09.01.0002;1721.33.14.23.00;OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO;201.643,52
AMT;09/01/2017;09.01.0003;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;390,07
SEFIN;09/01/2017;09.01.0004;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;275,11
SEFIN;09/01/2017;09.01.0005;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;11.357,25
SEFIN;09/01/2017;09.01.0006;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;2.429,37
SEFIN;09/01/2017;09.01.0007;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;135,00
SEFIN;09/01/2017;09.01.0008;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.789,42
SEFIN;09/01/2017;09.01.0009;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;684,13
SEFIN;09/01/2017;09.01.0010;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;11.462,84
SEFIN;09/01/2017;09.01.0011;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;1.852,82
SEFIN;09/01/2017;09.01.0012;1121.29.00.00.00;Taxa de Licença para Execução de Obras;1.701,41
SEFIN;09/01/2017;09.01.0013;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;407,72
SEFIN;09/01/2017;09.01.0014;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;3.686,00
SEFIN;09/01/2017;09.01.0015;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;737,69
SEFIN;09/01/2017;09.01.0016;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;1.551,16
SEFIN;09/01/2017;09.01.0017;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;9.753,91
SEFIN;09/01/2017;09.01.0018;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;3.065,93
SEFIN;09/01/2017;09.01.0019;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.727,86
SEFIN;09/01/2017;09.01.0020;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;102,71
SEFIN;09/01/2017;09.01.0021;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;4.740,00
SEFIN;09/01/2017;09.01.0022;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;266,69
SEFIN;09/01/2017;09.01.0023;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;405,00
SEFIN;09/01/2017;09.01.0024;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;403,48
SEFIN;09/01/2017;09.01.0025;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;112,50
SEFIN;10/01/2017;10.01.0001;1721.01.02.00.00;Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal;2.888.611,85
SEFIN;10/01/2017;10.01.0002;1721.01.05.00.00;Cota-Parte do Imposto Sobre a Propriedade Territorial Rural;2.251,30
SEFIN;10/01/2017;10.01.0003;1722.01.04.00.00;Cota-Parte do IPI – Municípios;13.978,32
SEFIN;10/01/2017;10.01.0004;1113.05.01.01.00;IMPOSTO SOBRE SERVIÇO – SIMPLES NACIONAL;1.296,74
SEFIN;10/01/2017;10.01.0005;1722.01.02.00.00;Cota-Parte do IPVA;374.744,37
SESA;10/01/2017;10.01.0006;1721.33.11.10.00;Piso de Atenção Básica (PAB FIXO);672.182,00
SEDUC;10/01/2017;10.01.0007;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;577.722,36
SEDUC;10/01/2017;10.01.0008;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;1.623.935,46
SEDUC;10/01/2017;10.01.0009;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;33.081,12
SEFIN;10/01/2017;10.01.0010;1722.01.01.00.00;Cota-Parte do ICMS;330.985,58
SEDUC;10/01/2017;10.01.0011;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;66.197,12
SEDUC;10/01/2017;10.01.0012;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;196.676,20
SEDUC;10/01/2017;10.01.0013;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;74.948,87
SEDUC;10/01/2017;10.01.0014;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;113.273,36
