Identificador do Contrato,UASG,Modalidade da Licitação,Número do Aviso da Licitação,Código do Contrato,Licitação associada,Origem da Licitação,Número,Objeto,Número de Aditivos,Número do Processo,CPF Contratada,CNPJ Contratada,Data de Assinatura,Fundamento Legal,Data de Início da Vigência,Data de Termino da Vigência,Valor inicial,Aditivos do Contrato > uri,Apostilamentos do Contrato > uri,Eventos do Contrato > uri
51211150000011990,512111: GERÊNCIA EXECUTIVA NITERÓI/RJ,"6: DISPENSA DE LICITAÇÃO                             ",00001/1990,"50: CONTRATO                                          ",Licitação 51211106000011990,SISPP,00001/1990,"Locao de imvel na localidade de So Gonalo, sito a Rua Salvatri n 18 Centro So Gonalo Rio de Janeiro (Locao do ano de 1990)",1,35328022712/88-41,***.663.807-**,,24/05/1990,"Resoluo 21 de31/07/1978 - Inciso IV do Artigo 23 do De-creto-Lei n 2.300, Alnea ""d"", item 17 - PT-MPAS n 3.410/89",24/05/1990,24/05/1995,"R$ 1,933.87",/contratos/id/contrato/51211150000011990/aditivos,/contratos/id/contrato/51211150000011990/apostilamentos,/contratos/id/contrato/51211150000011990/eventos
51209950000011991,512099: UNID.ADMIN.LOCAL INSS SAO JOAO DE MERITI/RJ,"6: DISPENSA DE LICITAÇÃO                             ",000013/1991,"50: CONTRATO                                          ",Licitação 51209906000131991,SISPP,00001/1991,"Locao do imvel situado na Av. Nossa Senhora das Graas,238,salas 402 a 404 Centro So Joo de Meriti.",,35301016867/95-66,***.083.637-**,,15/06/1991,"Artigo 24, inciso X da Lei 8.666/93 e alteraes   poste-riores.",15/06/1991,14/06/1993,"R$ 10,214.04",/contratos/id/contrato/51209950000011991/aditivos,/contratos/id/contrato/51209950000011991/apostilamentos,/contratos/id/contrato/51209950000011991/eventos
17011950000011991,170119: MF-DELEGACIA DA REC FED.EM VOLTA REDONDA/RJ,"6: DISPENSA DE LICITAÇÃO                             ",00001/1991,"50: CONTRATO                                          ",Licitação 17011906000011991,SISPP,00001/1991,Locao de imvel para a Agncia da Receita Federal em Barra do Pirai,3,130090000769116,***948647**: DIVA REIS CARVALHO,,20/11/1991,Decretos-Leis 2300/86 e 2348/87 e Lei 6649/79,20/11/1991,19/11/1994,"R$ 18,646,056.00",/contratos/id/contrato/17011950000011991/aditivos,/contratos/id/contrato/17011950000011991/apostilamentos,/contratos/id/contrato/17011950000011991/eventos
17021850000011991,170218: DELEGACIA DA REC.FEDERAL EM BELEM/PA,"6: DISPENSA DE LICITAÇÃO                             ",00001/1991,"50: CONTRATO                                          ",Licitação 17021806000011991,SISPP,00001/1991,"Locao de imvel situado a travessa monsenhor incio, 62, na cidad e de Camet/PA para instalao da Agncia da Receita Federal naquela cidade",,102800054569112,***.802.412-**,,01/10/1991,Lei 8666/93,01/10/1991,31/03/2002,"R$ 85,770.72",/contratos/id/contrato/17021850000011991/aditivos,/contratos/id/contrato/17021850000011991/apostilamentos,/contratos/id/contrato/17021850000011991/eventos
51184250000011991,511842: GERÊNCIA EXECUTIVA GOVERNADOR VALADARES/MG,"6: DISPENSA DE LICITAÇÃO                             ",00001/1991,"50: CONTRATO                                          ",Licitação 51184206000011991,SISPP,00001/1991,locacao de imovel para abrigar os servios do inss na cidade de ipa tinga-MG.,,35097005690199699,,Fornecedor 21.221.270/0001-00: FAGUNDES & FONTES LTDA,01/06/1998,inciso X do artigo 24 da lei 8666/93,01/06/1998,31/05/1999,"R$ 69,000.00",/contratos/id/contrato/51184250000011991/aditivos,/contratos/id/contrato/51184250000011991/apostilamentos,/contratos/id/contrato/51184250000011991/eventos
17011650000011991,170116: SUP.REGIONAL RECEITA FEDERAL 7A.RF/RJ,"7: INEXIGIBILIDADE DE LICITAÇÃO                      ",00001/1991,"50: CONTRATO                                          ",Licitação 17011607000011991,SISPP,00001/1991,"Contrato n 01/91 tem por objeto a locao de imvel constitudo de uma loja, localizada na Praa Oliveira Figueiredo n 40, Barra do Pira, Es tado do Rio de Janeiro.",1,13009000076/91-16,***948647**: Diva Reis Carvalho,,20/11/1991,Decretos-Leis ns 2.300/86 e 2.348/87 e Lei n 6.649/79.,20/11/1991,19/11/1994,"R$ 18,646,056.00",/contratos/id/contrato/17011650000011991/aditivos,/contratos/id/contrato/17011650000011991/apostilamentos,/contratos/id/contrato/17011650000011991/eventos
51144250000011991,511442: GERÊNCIA EXECUTIVA SANTO ANDRÉ/SP,"6: DISPENSA DE LICITAÇÃO                             ",00001/1991,"50: CONTRATO                                          ",Licitação 51144206000011991,SISPP,00001/1991,"Locao do imvel sito  Rua Domingos Balzani,66 Centro Ribeiro Pires/SP, onde est instalado a Agncia da Previdncia Social de Ribeiro Pires/SP.",1,35556000086199106,***.420.668-**,,30/10/1991,"Artigo 24, Inciso X da Lei 8666/93 e alteraes posterio-res.",30/10/1991,29/10/1992,"R$ 143,666.66",/contratos/id/contrato/51144250000011991/aditivos,/contratos/id/contrato/51144250000011991/apostilamentos,/contratos/id/contrato/51144250000011991/eventos
17012050000011991,170120: DELEGACIA DA REC.FEDERAL EM CAMPOS GOITACAZES,"6: DISPENSA DE LICITAÇÃO                             ",00001/1991,"50: CONTRATO                                          ",Licitação 17012006000011991,SISPP,00001/1991,"Contrato n 01/91 tem por objeto a locao do imvel constitudo de seis pavimentos, do 4 ao 9 pavimento,sito  Boulevard Francisco de Paula Carneiro n 10, Campos/RJ, Edifcio ""DIL"", no Estado do Rio de Janeiro.",2,10725001680/91-41,,Fornecedor 28.935.534/0001-29: SIQUEIRA CIA LTDA,12/08/1991,"Inciso IV, artigo 23 do Decreto-Lei 2300/86",01/06/1992,30/05/1994,"R$ 216,000,000.00",/contratos/id/contrato/17012050000011991/aditivos,/contratos/id/contrato/17012050000011991/apostilamentos,/contratos/id/contrato/17012050000011991/eventos
51206050000011991,512060: GERÊNCIA EXECUT. RIO DE JANEIRO-CENTRO/RJ,"7: INEXIGIBILIDADE DE LICITAÇÃO                      ",00001/1991,"50: CONTRATO                                          ",Licitação 51206007000011991,SISPP,00001/1991,"Renovao da locao das lojas A, B, C e D situadas na Praa Paname ricana, 31 Penha Circular Rio de Janeiro/RJ, ocupadas com Posto de Manu teno de Benefcios da DLSS Olaria.",,353010187489114,***.860.927-**,,01/11/1991,"Artigo 23, inciso IV, do Decreto Lei 2300/86",01/11/1991,31/10/1993,R$ 4.01,/contratos/id/contrato/51206050000011991/aditivos,/contratos/id/contrato/51206050000011991/apostilamentos,/contratos/id/contrato/51206050000011991/eventos
51208450000011992,512084: UNID.ADMINIST.LOCAL INSS EM MAGE/RJ,"6: DISPENSA DE LICITAÇÃO                             ",00001/1992,"50: CONTRATO                                          ",Licitação 51208406000011992,SISPP,00001/1992,"LOCAAO DE PREDIO ONDE FUNCIONA A UNIDADE EXECUTIVA DE PERICIAS ME DICAS, SITUADA NA AV. PE. ANCHIETA, 81 CENTRO MAGE-RJ DE PROPRIEDADE DE MARTHA COPELLO DO NASCIMENTO.",,35314/7716/92,***251187**: MARTHA COPELLO DO NASCIMENTO,,01/12/1992,ARTIGO 24/10 LEI 8666/93,17/12/1998,16/12/1999,"R$ 5,702.52",/contratos/id/contrato/51208450000011992/aditivos,/contratos/id/contrato/51208450000011992/apostilamentos,/contratos/id/contrato/51208450000011992/eventos
51135050000011992,511350: GERÊNCIA EXECUTIVA ARAÇATUBA/SP,"6: DISPENSA DE LICITAÇÃO                             ",00001/1992,"50: CONTRATO                                          ",Licitação 51135006000011992,SISPP,00001/1992,"Locao de imvel para instalao dos servios do INSS na cidade de Birigi-SP, sito na Avenida Governador Pedro de Toledo n 114, centro, pelo perodo de 06.08.1992 a 05.08.1993, prorrogvel por mais quarenta e oito meses.",1,35372002954/92-50,***.827.538-**,,06/08/1992,"lei 8.666/93, art. 24, inciso x",06/08/1992,05/08/1993,"R$ 42,600,000.00",/contratos/id/contrato/51135050000011992/aditivos,/contratos/id/contrato/51135050000011992/apostilamentos,/contratos/id/contrato/51135050000011992/eventos
51141350000011992,511413: GERÊNCIA EXECUTIVA SOROCABA/SP,"6: DISPENSA DE LICITAÇÃO                             ",00001/1996,"50: CONTRATO                                          ",Licitação 51141306000011996,SISPP,00001/1992,"despesa com aluguel do imovel sito na Rua Vinte e Um de Abril, 183 em ITU/SP, onde funciona a Agncia da Previdncia Social, conforme processo 121.030.0153879",,121.030/01538/79,,Fornecedor 43.691.526/0001-78: CAMPININHA   REPRESENTACOES  EPARTICIPACOES LTDA,16/09/1992,Inciso X - Artigo 24 da Lei 8666/93.,16/09/1992,15/09/2001,"R$ 65,567.40",/contratos/id/contrato/51141350000011992/aditivos,/contratos/id/contrato/51141350000011992/apostilamentos,/contratos/id/contrato/51141350000011992/eventos
51209150000011992,512091: UNID.ADMINIST.LOCAL INSS EM TRES RIOS/RJ,"6: DISPENSA DE LICITAÇÃO                             ",00001/1992,"50: CONTRATO                                          ",Licitação 51209106000011992,SISPP,00001/1992,"Locaao de imovel, localizada aa Rua Dr. Walmir Peanha, 27 cen tro Tres Rios RJ., onde funciona o Grupamento Medico Pericial.  Imovel composto de uma area util de 270m2.",2,35301-051971/1992,***.207.947-**,,09/10/1992,"Art. 23, Inciso IV, Decreto-Lei n 2.300/86.",09/10/1992,09/10/1993,"R$ 101,836,800.00",/contratos/id/contrato/51209150000011992/aditivos,/contratos/id/contrato/51209150000011992/apostilamentos,/contratos/id/contrato/51209150000011992/eventos
20005650000011992,200056: DIVISAO DE POLICIA FEDERAL - FOZ DO IGUACU/PR,"7: INEXIGIBILIDADE DE LICITAÇÃO                      ",00001/1992,"50: CONTRATO                                          ",Licitação 20005607000011992,SISPP,00001/1992,LOCACAO DE IMOVEIL PARA FUNCIONAMENTO DA DELEGACIA DE POLICIA FEDERAL EM GUAIRA-PR.,11,08389012652199804,***292799**: HILGA BURKHARD SCHERER,,01/01/1992,"LEI 8666-93, ART 38, ITEM VI",01/01/1992,31/12/1992,"R$ 12,000.00",/contratos/id/contrato/20005650000011992/aditivos,/contratos/id/contrato/20005650000011992/apostilamentos,/contratos/id/contrato/20005650000011992/eventos
51135950000011992,511359: GERÊNCIA EXECUTIVA CAMPINAS/SP,"6: DISPENSA DE LICITAÇÃO                             ",00001/1996,"50: CONTRATO                                          ",Licitação 51135906000011996,SISPP,00001/1992,"Contrato de Locao de imvel de terceiros que faz o INSS na cidade de Indaiatuba-SP, imvel este localizado na Rua Ademar de Barros, 519 Cen tro Indaiatuba, para atender s necessidades do Instituto Nacional do Seguro Social sediado nessa cidade.",,35478000013/96-63,***.284.248-**,,16/03/1992,Artigo 24 inciso X da Lei 8666/93.,16/03/1992,15/03/1993,"R$ 5,375.00",/contratos/id/contrato/51135950000011992/aditivos,/contratos/id/contrato/51135950000011992/apostilamentos,/contratos/id/contrato/51135950000011992/eventos
25500050000011993,255000: MS-FUNDACAO NACIONAL DE SAUDE/DF,"3: CONCORRÊNCIA                                      ",00003/1992,"50: CONTRATO                                          ",Licitação 25500003000031992,SISPP,00001/1993,"fornecimento de passagens areas, terrestres e transporttes de carg a area para unidades centrais da Fundao Nacional de Sade.",,25100001284/92-91,,Fornecedor 00.646.075/0001-44: INTERLINE TURISMO E REPRESENTACOESLTDA,31/12/1992,Lei 8.666/93,31/12/1992,31/12/1998,"R$ 200,000.00",/contratos/id/contrato/25500050000011993/aditivos,/contratos/id/contrato/25500050000011993/apostilamentos,/contratos/id/contrato/25500050000011993/eventos
15305650000011993,153056: MEC-UFF-UNIVERSIDADE FEDERAL FLUMINENSE/RJ,"3: CONCORRÊNCIA                                      ",00001/1992,"50: CONTRATO                                          ",Licitação 15305603000011992,SISPP,00001/1993,"Contrato de prestao de servios continuados de limpeza  conserva o higiene desinsetizao, desratizao e descupinizao",,33069009336/92-11,,Fornecedor 33.104.423/0001-00: CONSERVADORA LUSO BRASILEIRA S ACOMERCIO E CONSTRUCOES,18/02/1993,DECRETO LEI 2300/86,09/03/1993,31/12/1993,"R$ 1,008,599,997.60",/contratos/id/contrato/15305650000011993/aditivos,/contratos/id/contrato/15305650000011993/apostilamentos,/contratos/id/contrato/15305650000011993/eventos
18302350000011993,183023: INST.NAC.DE METROLOGIA QUALIDADE E TECNOLOGIA,"3: CONCORRÊNCIA                                      ",00002/1992,"50: CONTRATO                                          ",Licitação 18302303000021992,SISPP,00001/1993,CONTRATAO DE SERVIOS DE TRANSPORTES COLETIVOS.,7,3913/94,,Fornecedor 00.415.621/0001-36: ANATUR TURISMO E TRANSPORTES LTDA,04/01/1993,PARAGRAFO 1 DO ARTIGO 22 LEI 8.666/93,04/01/1993,04/01/1994,"R$ 400,000.00",/contratos/id/contrato/18302350000011993/aditivos,/contratos/id/contrato/18302350000011993/apostilamentos,/contratos/id/contrato/18302350000011993/eventos
34302354000011993,343023: IPHAN-MUSEU PACO IMPERIAL/RJ,"3: CONCORRÊNCIA                                      ",00002/1993,"54: CONCESSÃO                                         ",Licitação 34302303000021993,SISPP,00001/1993,Permissao Onerosa de Uso destinada a exploracao de 01 loja objeti -vando a comercializacao de Objetos e Acessorios de Escritorio.,,01460000019/93-83,,Fornecedor 36.118.024/0001-97: IMPRESSAO DIGITAL PAPELARIA LTDA,28/07/1993,Decreto Lei 2300 de 21/11/86 e alteracoes posteriores bem como Decreto n. 449.,01/08/1996,30/07/1999,"R$ 54,000.00",/contratos/id/contrato/34302354000011993/aditivos,/contratos/id/contrato/34302354000011993/apostilamentos,/contratos/id/contrato/34302354000011993/eventos
17007550000011993,170075: SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - BA,"7: INEXIGIBILIDADE DE LICITAÇÃO                      ",00001/1993,"50: CONTRATO                                          ",Licitação 17007507000011993,SISPP,00001/1993,"Locao do imvel situado na Av. Mrio Andreazza, s/n, na cidade de Esplanada Ba.  Clusula Quarta: O presente contrato ficar prorrogado,su cessiva e automaticamente, pelo prazo de 03 (trs) anos, mantidas todas as suas clusulas e condies, se nenhuma das partes manifestar, por escrito , com antecedncia mnima de 60 (sessenta) dias, ao trmino do perodo contra tual ou de cada contratao.",,00050780145/46-13,***.057.305-**,,09/07/1990,"Art. 23, inciso IV, do Decreto-Lei n. 2.300/86.",30/06/1996,29/04/1999,"R$ 22,925.52",/contratos/id/contrato/17007550000011993/aditivos,/contratos/id/contrato/17007550000011993/apostilamentos,/contratos/id/contrato/17007550000011993/eventos
25002050000011993,250020: HOSPITAL DE MARACANAU - CE,"2: TOMADA DE PREÇOS                                  ",00001/1993,"50: CONTRATO                                          ",Licitação 25002002000011993,SISPP,00001/1993,"Prestao de Servios de Higiene e Limpeza, nas dependncias do Hos pital de Maracana.",5,093/93,,Fornecedor 12.460.077/0001-23: PADRAO CONDOMINIO E SERVICOS S CLTDA,30/12/1993,Lei 8.666/93 e Decreto-Lei 44.684/87.,30/12/1993,31/12/1993,"R$ 484,829.52",/contratos/id/contrato/25002050000011993/aditivos,/contratos/id/contrato/25002050000011993/apostilamentos,/contratos/id/contrato/25002050000011993/eventos
51206050000011993,512060: GERÊNCIA EXECUT. RIO DE JANEIRO-CENTRO/RJ,"7: INEXIGIBILIDADE DE LICITAÇÃO                      ",00001/1993,"50: CONTRATO                                          ",Licitação 51206007000011993,SISPP,00001/1993,"Locao do imvel constitudo de loja trrea, trs pavimentos  e cobertura na Rua Engenheiro Trindade, 429, em Campo Grande Rio de Janeiro RJ, para reinstalar setores da Gerncia Estadual do Seguro Social Bangu, para atender ao Projeto Relocar Capital.",1,35301.117674/93,***588572**: FAHD HANNA,,19/05/1993,"Decreto Lei 2300/86, artigo 23, inciso IV",19/05/1993,18/05/1998,"R$ 9,818.18",/contratos/id/contrato/51206050000011993/aditivos,/contratos/id/contrato/51206050000011993/apostilamentos,/contratos/id/contrato/51206050000011993/eventos
17016050000011994,170160: DELEGACIA DA REC.FEDERAL EM P.GROSSA/PR,"6: DISPENSA DE LICITAÇÃO                             ",00001/1994,"50: CONTRATO                                          ",Licitação 17016006000011994,SISPP,00001/1994,Locao de imvel para instalao da ARF/IRATI-PR,1,10940002789970,***431409**: JORGE NACERE ABIB,,15/12/1994,Art.24 inciso X da Lei 8.666/93,16/12/1994,15/12/1995,R$ 600.00,/contratos/id/contrato/17016050000011994/aditivos,/contratos/id/contrato/17016050000011994/apostilamentos,/contratos/id/contrato/17016050000011994/eventos
15301250000011994,153012: CENTRO FEDERAL DE EDUCACAO TECNOLOGICA/GOIAS,"2: TOMADA DE PREÇOS                                  ",000013/1993,"50: CONTRATO                                          ",Licitação 15301202000131993,SISPP,00001/1994,"Prestao de servios de limpeza, conservao e higiene no  predio onde funciona a ETFG localizada a Rua 75 nr. 46 Centro Goiania GO.",2,003653/93-18,,Fornecedor 25.057.696/0001-13: LINCE  ADMINISTRACAO E SERVICOSLTDA,10/01/1994,Lei nr. 8.666/93,10/01/1994,31/12/1994,"R$ 14,789.28",/contratos/id/contrato/15301250000011994/aditivos,/contratos/id/contrato/15301250000011994/apostilamentos,/contratos/id/contrato/15301250000011994/eventos
16007150000011994,160071: DEPARTAMENTO GERAL DE SERVICOS-MEX/DF,"2: TOMADA DE PREÇOS                                  ",00009/1994,"50: CONTRATO                                          ",Licitação 16007102000091994,SISPP,00001/1994,PRESTAO DE SERVIOS DE LIMPEZA E CONSERVAO.,1,09/94-DGS/GAB,,Fornecedor 00.420.323/0001-34: BRASILIA  EMPRESA  DE  SERVICOSTECNICOS LTDA,01/09/1994,LEI 8666/93.,01/09/1994,31/12/1994,"R$ 42,447.36",/contratos/id/contrato/16007150000011994/aditivos,/contratos/id/contrato/16007150000011994/apostilamentos,/contratos/id/contrato/16007150000011994/eventos
36400150000011994,364001: CNPQ - ADMINISTRACAO CENTRAL/DF,"1: CONVITE                                           ",000019/1994,"50: CONTRATO                                          ",Licitação 36400101000191994,SISPP,00001/1994,Prestao de servios especializados de advocacia,5,000116/94-7,,Fornecedor 32.901.779/0001-02: NILTON   CORREIA   ADVOGADOSASSOCIADOS S/C,04/04/1994,"Artigo 23, inciso II, Lei 8666/93",04/04/1994,04/04/1995,"R$ 28,560.00",/contratos/id/contrato/36400150000011994/aditivos,/contratos/id/contrato/36400150000011994/apostilamentos,/contratos/id/contrato/36400150000011994/eventos
25501550000011994,255015: FUNDACAO NACIONAL DE SAUDE - PB,"2: TOMADA DE PREÇOS                                  ",00009/1994,"50: CONTRATO                                          ",Licitação 25501502000091994,SISPP,00001/1994,Locao de treze maquinas copiadoras,11,25210001367/9478,,Fornecedor 29.213.386/0042-70: XEROX DO BRASIL LTDA,16/11/1994,lei 8666/93 republicada 060794,16/11/1994,31/12/1994,"R$ 17,729.42",/contratos/id/contrato/25501550000011994/aditivos,/contratos/id/contrato/25501550000011994/apostilamentos,/contratos/id/contrato/25501550000011994/eventos
13002950000011994,130029: SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.,"2: TOMADA DE PREÇOS                                  ",00001/1994,"50: CONTRATO                                          ",Licitação 13002902000011994,SISPP,00001/1994,"Servio de Vigilncia Ostensiva Armada durante 24 horas do dia, em 2,5 postos de vigilncia da DFA/Ba",,21012001634/93-84,,Fornecedor 14.751.523/0001-84: A VIGILNCIA Servios Particularesde Vigilncia Ltda,01/01/1994,Lei 8666/93,01/01/1994,31/12/1994,"R$ 108,723.38",/contratos/id/contrato/13002950000011994/aditivos,/contratos/id/contrato/13002950000011994/apostilamentos,/contratos/id/contrato/13002950000011994/eventos
25005550000011994,250055: CENTRO PSIQUIATRICO PEDRO II - RJ,"3: CONCORRÊNCIA                                      ",00002/1993,"50: CONTRATO                                          ",Licitação 25005503000021993,SISPP,00001/1994,Prestao de Servio de Limpeza e Conservao do CPP II.,1,25403.01848/93,,Fornecedor 29.212.545/0001-43: NOVA RIO SERVICOS GERAIS LTDA,01/01/1994,Artigo 23 inciso II alnea c,01/01/1994,31/12/1994,"R$ 193,083.46",/contratos/id/contrato/25005550000011994/aditivos,/contratos/id/contrato/25005550000011994/apostilamentos,/contratos/id/contrato/25005550000011994/eventos
25501750000011994,255017: FUNDACAO NACIONAL DE SAUDE - PE,"6: DISPENSA DE LICITAÇÃO                             ",00001/1994,"50: CONTRATO                                          ",Licitação 25501706000011994,SISPP,00001/1994,Locao de imvel.,1,25225001019/94-00,***.379.804-**,,01/09/1994,Art.24 Inciso X da Lei 8.666/93.,01/09/1994,01/09/1997,"R$ 9,000.00",/contratos/id/contrato/25501750000011994/aditivos,/contratos/id/contrato/25501750000011994/apostilamentos,/contratos/id/contrato/25501750000011994/eventos
